施設・場所名,住所,緯度,経度
京都市立横大路小学校,京都府京都市伏見区横大路草津町54-1,34.92813017,135.734365
京都市立納所小学校,京都府京都市伏見区納所妙徳寺1,34.9095809,135.7196695
京都市立向島小学校,京都府京都市伏見区向島善阿弥町2-3,34.92685097,135.771375
京都市立向島藤の木小学校,京都府京都市伏見区向島藤ノ木町82-5,34.92042725,135.7803541
京都市立向島南小学校,京都府京都市伏見区向島津田町95-1,34.92338218,135.7655245
京都市立向島二の丸小学校,京都府京都市伏見区向島二ノ丸町151,34.91632857,135.7738683
京都市立二の丸北小学校,京都府京都市伏見区向島二ノ丸町300,34.91879059,135.7692071
京都市立小栗栖小学校,京都府京都市伏見区小栗栖森本町47-4,34.94272508,135.7980466
京都市立小栗栖宮山小学校,京都府京都市伏見区小栗栖宮山1-1,34.94567903,135.799283
京都市立池田小学校,京都府京都市伏見区醍醐鍵尾町17,34.9461168,135.80771
京都市立池田東小学校,京都府京都市伏見区醍醐多近田町2-2,34.94475274,135.812183
京都市立春日野小学校,京都府京都市伏見区日野田中町31,34.93876331,135.8123058
京都市立日野小学校,京都府京都市伏見区日野谷寺町78,34.93856788,135.8161433
京都市立石田小学校,京都府京都市伏見区石田森西24,34.94074997,135.8010722
京都市立醍醐西小学校,京都府京都市伏見区醍醐川久保町1,34.95292151,135.8118961
京都市立神川小学校,京都府京都市伏見区久我東町60-2,34.9384004,135.7327757
京都市立久我の杜小学校,京都府京都市伏見区久我東町209,34.93322824,135.7293887
